"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"1473","Eucalyptus angulosa","eucalyptus angulosa","Eucalyptus angulosa","Eucalyptus angulosa","eucalyptus angulosa","","Species ","D.Nicolle","5983","Toolinna Cove, WA",32,43,41,125,1,"40",243,1,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R243/T01","Eucalyptus angulosa","eucalyptus angulosa","eucalyptus","angulosa",NA,"eucalyptus angulosa","Accepted","","Schauer","Currency Creek 939","KT631508","KT630950","","KT632141"
"1474","Eucalyptus discreta","eucalyptus discreta","Eucalyptus discreta","Eucalyptus discreta","eucalyptus discreta","","Species ","D.Nicolle","5993","Culver Beach, WA",32,55,25,124,24,"5",274,9,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R274/T09","Eucalyptus discreta","eucalyptus discreta","eucalyptus","discreta",NA,"eucalyptus discreta","Accepted","","Brooker","Currency Creek 1091","KT631649","KT631066","KT632832","KT632261"
"1475","Eucalyptus eremophila","eucalyptus eremophila","Eucalyptus eremophila","Eucalyptus eremophila","eucalyptus eremophila","","Species ","D.Nicolle","5994","Bilbunya Dunes, WA",32,56,5,124,19,"29",287,11,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R287/T11","Eucalyptus eremophila","eucalyptus eremophila","eucalyptus","eremophila",NA,"eucalyptus eremophila","Accepted","","(Diels) Maiden","CANB 794016**","KT631673","KT631086","KT632855","KT632281"
"1476","Eucalyptus angustissima","eucalyptus angustissima","Eucalyptus angustissima","Eucalyptus angustissima","eucalyptus angustissima","","Species ","D.Nicolle","5996","Bilbunya Dunes, WA",32,56,40,124,17,"50",282,1,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R282/T01","Eucalyptus angustissima","eucalyptus angustissima","eucalyptus","angustissima",NA,"eucalyptus angustissima","Accepted","","F.Muell.","CANB 794337**","KT631509","KT630951","KT632704","KT632142"
"1477","Eucalyptus scyphocalyx (E. surgens)","eucalyptus scyphocalyx","Eucalyptus scyphocalyx","Eucalyptus surgens","eucalyptus surgens","","Species","D.Nicolle","5997","Bilbunya Dunes, WA",32,56,58,124,17,"16",282,9,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R282/T09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1478","Eucalyptus scias subsp. callimastha","eucalyptus scias subsp. callimastha","Eucalyptus scias subsp. callimastha","Eucalyptus scias","eucalyptus scias","","Species ","D.Nicolle","600","Tomakin, NSW",35,49,23,150,13,"8",52,29,"Alive","Moderate","Severe","?","None evident","","","","","Moderate","","",1994,"R052/T29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1479","Eucalyptus yalatensis","eucalyptus yalatensis","Eucalyptus yalatensis","Eucalyptus yalatensis","eucalyptus yalatensis","","Species ","D.Nicolle","6000","Israelite Bay, WA",33,18,21,124,2,"0",242,1,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R242/T01","Eucalyptus yalatensis","eucalyptus yalatensis","eucalyptus","yalatensis",NA,"eucalyptus yalatensis","Accepted","","Boomsma","Currency Creek 2142","KT632052","KT631401","KT633206","KT632612"
"1480","Eucalyptus incrassata","eucalyptus incrassata","Eucalyptus incrassata","Eucalyptus incrassata","eucalyptus incrassata","","Species ","D.Nicolle","6005","Israelite Bay, WA",33,31,10,123,58,"41",278,9,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R278/T09","Eucalyptus incrassata","eucalyptus incrassata","eucalyptus","incrassata",NA,"eucalyptus incrassata","Accepted","","Labill.","Currency Creek 1638","KT631738","KT631143","KT632918","KT632343"
"1481","Eucalyptus fraxinoides","eucalyptus fraxinoides","Eucalyptus fraxinoides","Eucalyptus fraxinoides","eucalyptus fraxinoides","","Species ","D.Nicolle","601","Mt Budawang, NSW",35,28,NA,150,0,"",51,32,"Dead","","","","","","","","","Died in 2006","","",1994,"R051/T32","Eucalyptus fraxinoides","eucalyptus fraxinoides","eucalyptus","fraxinoides",NA,"eucalyptus fraxinoides","Accepted","","H.Deane & Maiden","ANBG 751650","KT631695","","KT632877","KT632302"
"1482","Eucalyptus litorea","eucalyptus litorea","Eucalyptus litorea","Eucalyptus litorea","eucalyptus litorea","","Species ","D.Nicolle","6010","Point Malcolm, WA",33,45,40,123,44,"39",278,1,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R278/T01","Eucalyptus litorea","eucalyptus litorea","eucalyptus","litorea",NA,"eucalyptus litorea","Accepted","","Brooker & Hopper","Currency Creek 1094","KT631779","KT631178","KT632952","KT632380"
